Char & codepoint,Comments,Classic,MavenProSmall,amh18,bigfont,bigupper,chalkboard,chickn24,handwriting_institute,handwriting_neat,smallfont,symbols,threefiv,typewriter
Ú - 00DA,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00DA.png,✓,✓
Û - 00DB,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00DB.png,U -> 00DB.png,✓
Ü - 00DC,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00DC.png,✓,✓
Ý - 00DD,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00DD.png,✓,✓
ß - 00DF,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00DF.png,✓,✓
à - 00E0,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E0.png,U -> 00E0.png,✓
á - 00E1,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E1.png,✓,✓
â - 00E2,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E2.png,U -> 00E2.png,✓
ã - 00E3,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E3.png,U -> 00E3.png,✓
ä - 00E4,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E4.png,✓,✓
ç - 00E7,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E7.png,U -> 00E7.png,✓
è - 00E8,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E8.png,U -> 00E8.png,✓
é - 00E9,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00E9.png,✓,✓
ê - 00EA,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00EA.png,U -> 00EA.png,✓
ë - 00EB,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00EB.png,U -> 00EB.png,✓
ì - 00EC,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00EC.png,U -> 00EC.png,✓
í - 00ED,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00ED.png,✓,✓
î - 00EE,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00EE.png,U -> 00EE.png,✓
ï - 00EF,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00EF.png,U -> 00EF.png,✓
ñ - 00F1,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F1.png,U -> 00F1.png,✓
ò - 00F2,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F2.png,U -> 00F2.png,✓
ó - 00F3,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F3.png,✓,✓
ô - 00F4,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F4.png,U -> 00F4.png,✓
õ - 00F5,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F5.png,U -> 00F5.png,✓
ö - 00F6,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F6.png,✓,✓
ù - 00F9,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00F9.png,U -> 00F9.png,✓
ú - 00FA,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00FA.png,✓,✓
û - 00FB,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00FB.png,U -> 00FB.png,✓
ü - 00FC,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00FC.png,✓,✓
ý - 00FD,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00FD.png,✓,✓
Ą - 0104,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0104.png,U -> 0104.png,✓
ą - 0105,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0105.png,U -> 0105.png,✓
Ć - 0106,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0106.png,U -> 0106.png,✓
ć - 0107,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0107.png,U -> 0107.png,✓
Č - 010C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 010C.png,✓,✓
č - 010D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 010D.png,✓,✓
Ď - 010E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 010E.png,✓,✓
ď - 010F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 010F.png,✓,✓
Ę - 0118,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0118.png,U -> 0118.png,✓
ę - 0119,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0119.png,U -> 0119.png,✓
Ě - 011A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 011A.png,✓,✓
ě - 011B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 011B.png,✓,✓
Ğ - 011E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 011E.png,U -> 011E.png,✓
ğ - 011F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 011F.png,U -> 011F.png,✓
İ - 0130,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0130.png,U -> 0130.png,✓
ı - 0131,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0131.png,U -> 0131.png,✓
Ľ - 013D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 013D.png,U -> 013D.png,✓
ľ - 013E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 013E.png,U -> 013E.png,✓
Ł - 0141,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0141.png,U -> 0141.png,✓
ł - 0142,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0142.png,U -> 0142.png,✓
Ń - 0143,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0143.png,U -> 0143.png,✓
ń - 0144,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0144.png,U -> 0144.png,✓
Ň - 0147,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0147.png,✓,✓
ň - 0148,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0148.png,✓,✓
Ř - 0158,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0158.png,✓,✓
ř - 0159,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0159.png,✓,✓
Ś - 015A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 015A.png,U -> 015A.png,✓
ś - 015B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 015B.png,U -> 015B.png,✓
Ş - 015E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 015E.png,U -> 015E.png,✓
ş - 015F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 015F.png,U -> 015F.png,✓
Š - 0160,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0160.png,✓,✓
š - 0161,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0161.png,✓,✓
Ť - 0164,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0164.png,✓,✓
ť - 0165,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0165.png,✓,✓
Ů - 016E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 016E.png,✓,✓
ů - 016F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 016F.png,✓,✓
Ź - 0179,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0179.png,U -> 0179.png,✓
ź - 017A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 017A.png,U -> 017A.png,✓
Ż - 017B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 017B.png,U -> 017B.png,✓
ż - 017C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 017C.png,U -> 017C.png,✓
Ž - 017D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 017D.png,✓,✓
ž - 017E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 017E.png,✓,✓
Ё - 0401,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0401.png,✓,✓
А - 0410,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0410.png,✓,✓
Б - 0411,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0411.png,✓,✓
В - 0412,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0412.png,✓,✓
Г - 0413,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0413.png,✓,✓
Д - 0414,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0414.png,✓,✓
Е - 0415,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0415.png,✓,✓
Ж - 0416,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0416.png,✓,✓
З - 0417,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0417.png,✓,✓
И - 0418,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0418.png,✓,✓
Й - 0419,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0419.png,✓,✓
К - 041A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 041A.png,✓,✓
Л - 041B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 041B.png,✓,✓
М - 041C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 041C.png,✓,✓
Н - 041D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 041D.png,✓,✓
